timestamp,stage,purpose,tool_or_model,units,cost_usd,notes
2026-04-30T23:17:34+03:00,dataset_llm_synthesis,LLM task generation,google/gemini-2.5-flash,prompt=518;completion=352;total=870,0.001035,accepted=1;rejected=0;template_family_id=send_hiring_spike_grounded;variant=1;status=accepted
2026-04-30T23:17:43+03:00,dataset_llm_synthesis,LLM task generation,qwen/qwen3-32b,prompt=490;completion=316;total=806,0.000144,accepted=0;rejected=1;template_family_id=send_grounded_but_generic;variant=1;status=rejected;reason=evidence_too_vague
2026-04-30T23:17:48+03:00,dataset_llm_synthesis,LLM task generation,google/gemini-2.5-flash-lite,prompt=521;completion=422;total=943,0.000221,accepted=1;rejected=0;template_family_id=send_market_entry_specific;variant=1;status=accepted
2026-04-30T23:17:51+03:00,dataset_llm_synthesis,LLM task generation,google/gemini-2.5-flash,prompt=529;completion=400;total=929,0.001159,accepted=1;rejected=0;template_family_id=send_overblock_risk_clear;variant=1;status=accepted
2026-04-30T23:18:11+03:00,dataset_llm_synthesis,LLM task generation,qwen/qwen3-32b,prompt=514;completion=533;total=1047,0.000691,accepted=1;rejected=0;template_family_id=exploratory_ops_strain;variant=1;status=accepted
2026-04-30T23:18:13+03:00,dataset_llm_synthesis,LLM task generation,google/gemini-2.5-flash-lite,prompt=525;completion=352;total=877,0.000193,accepted=1;rejected=0;template_family_id=exploratory_ai_hint;variant=1;status=accepted
2026-04-30T23:18:17+03:00,dataset_llm_synthesis,LLM task generation,google/gemini-2.5-flash,prompt=523;completion=563;total=1086,0.001564,accepted=1;rejected=0;template_family_id=exploratory_sparse_signal;variant=1;status=accepted
2026-04-30T23:18:38+03:00,dataset_llm_synthesis,LLM task generation,qwen/qwen3-32b,prompt=514;completion=382;total=896,0.000510,accepted=1;rejected=0;template_family_id=objection_budget_pressure;variant=1;status=accepted
2026-04-30T23:18:40+03:00,dataset_llm_synthesis,LLM task generation,google/gemini-2.5-flash-lite,prompt=513;completion=206;total=719,0.000134,accepted=1;rejected=0;template_family_id=abstain_missing_evidence;variant=1;status=accepted
2026-04-30T23:18:44+03:00,dataset_llm_synthesis,LLM task generation,google/gemini-2.5-flash,prompt=530;completion=365;total=895,0.001071,accepted=0;rejected=1;template_family_id=abstain_context_mismatch;variant=1;status=rejected;reason=evidence_too_vague
2026-04-30T23:19:51+03:00,dataset_llm_synthesis,LLM task generation,qwen/qwen3-32b,prompt=491;completion=161;total=652,0.000078,accepted=1;rejected=0;template_family_id=abstain_schema_fault_review;variant=1;status=accepted
2026-04-30T23:19:55+03:00,dataset_llm_synthesis,LLM task generation,google/gemini-2.5-flash-lite,prompt=525;completion=282;total=807,0.000165,accepted=0;rejected=1;template_family_id=review_signal_conflict;variant=1;status=rejected;reason=evidence_too_vague
2026-04-30T23:20:04+03:00,dataset_llm_synthesis,LLM task generation,google/gemini-2.5-flash,prompt=530;completion=323;total=853,0.000967,accepted=0;rejected=1;template_family_id=review_competitor_gap_unknown;variant=1;status=rejected;reason=evidence_too_vague
